pmeId,Time,pmeProtocol1,pmeProtocol2,pmeTarget,pmeMessage,pmePrio,pmePrioLevel,pmeDienst,Message,pmeStraat,pmeHouseNumber,pmeHouseNumberAdd,pmeANRoad,pmeHectometerpaal,pmeZip,pmeRegionName,Latitude,Longitude,pmeHash,pmeGeoAccuracy,pme_strId,pme_wplId,pme_gemId,pme_proId,pme_vrgId,pmeCapCodes,pmeLifeLiner,pme_catId,wplNam,gemName,geometry
16179857,2019-12-31 00:33:00,FLEX-A,1600,AORG,P 1 BDH-02 Gebouwbrand Pijnboomstraat SGRAVH 157850 159591 157830 157230,P 1,1,B,BDH-02 Gebouwbrand 157850 159591 157830 157230,Pijnboomstraat,\N,\N,\N,\N,2565ZH,Den Haag,52.081183,4.2733977,uzLCvmy4n0gL1i78+f/Atk3j8O4=,S,201006,4896,391,12,5170,"150,005,015,001,401,000,000,000,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2733977 52.081183)
16179874,2019-12-31 00:39:00,FLEX-A,1600,AORG,P 2 BDH-04 Buitenbrand afval/rommel Gramsbergenlaan Raaltestraat SGRAVH 157730,P 2,2,B,BDH-04 Buitenbrand afval/rommel 157730,Gramsbergenlaan,\N,\N,\N,\N,2541AE,Den Haag,52.0534922,4.273850299999999,I+SwDtttZBoGDHEmjzKMFfqiPp0=,S,199941,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.273850299999999 52.0534922)
16179877,2019-12-31 00:41:00,FLEX-A,1600,AORG,P 1 BDH-05 Voertuigbrand Lekstraat SGRAVH 157230,P 1,1,B,BDH-05 Voertuigbrand 157230,Lekstraat,\N,\N,\N,\N,2515VX,Den Haag,52.075268,4.3295525,dO4OZnGvQLFADFAu5H1+mQPd9lI=,S,200543,4896,391,12,5170,"1,500,140,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.3295525 52.075268)
16179880,2019-12-31 00:43:00,FLEX-A,1600,AORG,P 1 BDH-06 Voertuigbrand Laurierstraat SGRAVH 157830,P 1,1,B,BDH-06 Voertuigbrand 157830,Laurierstraat,\N,\N,\N,\N,2563SB,Den Haag,52.0685025,4.2730852,DHtBZlkwRvylQUFtiXuheRwXHqs=,S,200527,4896,391,12,5170,"1,500,142,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2730852 52.0685025)
16179891,2019-12-31 00:50:00,FLEX-A,1600,AORG,P 2 BDH-20 Buitenbrand container (afvalcontainer) Dr. de Visserplein SGRAVH 157130,P 2,2,B,BDH-20 Buitenbrand container (afvalcontainer) 157130,Dr. de Visserplein,\N,\N,\N,\N,2584SB,Den Haag,52.1043499,4.2727735000000004,YlljG/MD7o1kWEnTvM4/b5fG5A8=,S,199693,4896,391,12,5170,"15,001,581,500,196,100,000,000,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2727735 52.1043499)
16179904,2019-12-31 00:59:00,FLEX-A,1600,AORG,P 2 BDH-01 Buitenbrand afval/rommel Cornelis Houtmanstraat Merkusstraat SGRAVH 155130,P 2,2,B,BDH-01 Buitenbrand afval/rommel 155130,Cornelis Houtmanstraat,\N,\N,\N,\N,2593RD,Den Haag,52.089766100000006,4.340652099999999,FU5lhpch9KKJFMKwxLSuxL3NUNQ=,S,199557,4896,391,12,5170,"1,500,141,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.340652099999999 52.08976610000001)
16179917,2019-12-31 01:08:00,FLEX-A,1600,AORG,P 2 BDH-02 Buitenbrand container Maartensdijklaan SGRAVH 157730,P 2,2,B,BDH-02 Buitenbrand container 157730,Maartensdijklaan,\N,\N,\N,\N,2541VA,Den Haag,52.0509334,4.2770379,6eeP5iLZ5Mpb5S2l3EzpvmbspfE=,S,200621,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2770379 52.0509334)
16179938,2019-12-31 01:16:00,FLEX-A,1600,AORG,P 1 BDH-02 Voertuigbrand Toon Dupuisstraat SGRAVH 157730,P 1,1,B,BDH-02 Voertuigbrand 157730,Toon Dupuisstraat,\N,\N,\N,\N,2552SB,Den Haag,52.0554225,4.251312599999999,W3qEUBuP6R/jqGsIJOFfvyr8Kk4=,S,201514,4896,391,12,5170,"1,500,150,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.251312599999999 52.0554225)
16179940,2019-12-31 01:16:00,FLEX-A,1600,AORG,P 2 BDH-03 Buitenbrand afval/rommel Zwartsluisstraat SGRAVH 157630,P 2,2,B,BDH-03 Buitenbrand afval/rommel 157630,Zwartsluisstraat,\N,\N,\N,\N,2541CT,Den Haag,52.045615500000004,4.2814263,rmD6TTdmyPWgciY2UY2zZnyX7mg=,S,202039,4896,391,12,5170,"1,500,148,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2814263 52.0456155)
16179974,2019-12-31 01:30:00,FLEX-A,1600,AORG,P 2 BDH-03 Buitenbrand container Maartensdijklaan Hengelolaan SGRAVH 157630,P 2,2,B,BDH-03 Buitenbrand container 157630,Maartensdijklaan,\N,\N,\N,\N,2541VA,Den Haag,52.0509334,4.2770379,m9gMYc91/XRHvzdcWUwjGpXP+3k=,S,200621,4896,391,12,5170,"1,500,148,150,019,610,000,000,000,000",\N,\N,Den Haag,Den Haag,POINT (4.2770379 52.0509334)
